aangst;coefficient of the Angstrom's relationship for extraterrestrial radiation;SD;STATION;1;real;0;0.9;1;0
abscission;fraction of senescent leaves falling to the soil;SD;PARPLT;1;real;0;100;1;0
aclim;climatic component of A to calculate actual soil evaporation;mm;STATION;1;real;4;25;1;0
adens;Interplant competition parameter;SD;PARPLT;1;real;-2;0;1;1
adfol;parameter determining the leaf density evolution within the chosen shape;m-1;PARPLT;1;real;-10;10;1;0
adil;parameter of the critical dilution curve [Nplante]=adil MS^(-bdil);% DM;PARPLT;1;real;1;7;1;0
adilmax;parameter of the maximum dilution curve [Nplante]=adilmax MS^(-bdilmax);% DM;PARPLT;1;real;3;10;1;0
afpf;parameter of the logistic function defining sink strength of fruits (indeterminate growth) : relative fruit age at which growth is maximal;SD;PARPLT;1;real;0.01;1;1;0
afruitpot;maximal number of set fruits per degree-day (indeterminate growth);degree-d-1;PARPLT;1;real;0.5;20;1;1
ahres;parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(1);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(10);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(11);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(12);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(13);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(14);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(15);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(16);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(17);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(18);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(19);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(2);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(20);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(21);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(3);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(4);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
ahres(5);parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;0;500;1;0
