aangst;coefficient of the Angstrom relationship for extraterrestrial radiation;SD;STATION;1;real;0;0.9;1;0
abscission;fraction of senescent leaves falling to the soil;SD;PARPLT;1;real;0;1;1;0
aclim;climatic component to calculate actual soil evaporation (Brisson & Perrier, 1991);mm;STATION;1;real;4;25;1;0
adens;Interplant competition parameter;SD;PARPLT;1;real;-2;0;1;1
adfol;parameter determining the leaf density evolution within the chosen shape;m-1;PARPLT;1;real;-10;10;1;0
adil;parameter of the critical dilution curve [Nplante]=adil MS^(-bdil);% ;PARPLT;1;real;1;7;1;0
adilmax;parameter of the maximum dilution curve [Nplante]=adilmax MS^(-bdilmax);% ;PARPLT;1;real;3;10;1;0
afpf;parameter of the logistic function defining sink strength of fruits (indeterminate growth) : relative fruit age at which growth is maximal;SD;PARPLT;1;real;0.01;1;1;0
afruitpot;maximal number of set fruits per inflorescence and per degree day (indeterminate growth);fruits.inflorescence-1.degree_d-1;PARPLT;1;real;0.5;20;1;1
ahres;parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);SD;PARAM;21;real;0;100;1;0
akres;parameter of organic residues decomposition: kres=akres+bkres/CsurNres;d-1;PARAM;21;real;-0.2;1;1;0
aks;parameter of calculation of the energetic loss between the inside and the outside of a greenhouse ;W.m-2.K-1;STATION;1;real;0.01;100;1;0
albedo;albedo of the bare dry soil;SD;PARSOL;1;real;0.05;0.6;1;0
albedomulchplastique;albedo of plastic cover;SD;PARTEC;1;real;0.05;0.8;1;0
albedomulchresidus;albedo of plant mulch;SD;PARAM;21;real;0.05;0.8;1;0
albveg;albedo of the vegetation;SD;STATION;1;real;0.05;0.3;1;0
allocfrmax;maximal daily allocation to fruits;SD;PARPLT;1;real;0.05;1;1;0
alloperirac;allocation rate of the seed reserves (perisperm) to the rootlet growth;SD;PARPLT;1;real;0.05;1;1;0
alphaCO2;coefficient accounting for the modification of radiation use efficiency in case of atmospheric CO2 increase;SD;PARPLT;1;real;1;2;1;0
alphapH;maximal soil pH variation per unit of inorganic N added with slurry;kg-1 ha;PARAM;1;real;0.001;0.02;1;0
alphaphot;parameter of photoperiodic effect on leaf lifespan;SD;PARPLT;1;real;0;1000;1;0
alphapt;parameter of Priestley-Taylor formula;SD;STATION;1;real;1;2;1;0
altinversion;altitude of inversion of the thermal gradient;m;STATION;1;real;0;2000;1;0
altisimul;altitude of simulated site;m;STATION;1;real;0;2000;1;0
altistation;altitude of the input metorological station ;m;STATION;1;real;0;2000;1;0
ampfroid;semi thermal amplitude for vernalising effect;degree_C;PARPLT;1;real;1;30;1;0
anitcoupe;amount of mineral N added by fertiliser application at each cut of a forage crop;kg.ha-1;PARTEC;20;real;0;400;1;0
argi;clay content after decarbonation;%;PARSOL;1;real;0;60;1;0
awb;parameter determining C/N ratio of biomass during organic residues decomposition: CsurNbio=awb+bwb/CsurNres;g.g-1;PARAM;21;real;0;100;1;0
bangst;coefficient of the Angstrom s relationship for extraterrestrial radiation;SD;STATION;1;real;0;1;1;0
bdens;minimal plant density above which interplant competition starts;m-2;PARPLT;1;real;1;200;1;1
bdil;parameter of the critical dilution curve [Nplante]=adil MS^(-bdil);SD;PARPLT;1;real;0.01;0.8;1;0
bdilmax;parameter of the maximum dilution curve [Nplante]=adilmax MS^(-bdilmax);SD;PARPLT;1;real;0.01;0.8;1;0
belong;parameter of the curve of coleoptile elongation;degree_d-1;PARPLT;1;real;0.005;0.04;1;0
beta;parameter of increase of maximal transpiration when a water stress occurs ;SD;PARAM;1;real;1;2;1;0
bformnappe;coefficient for the water table shape (artificially drained soil);SD;PARAM;1;real;0;1;1;0
bfpf;parameter of the logistic curve defining sink strength of fruits (indeterminate growth): maximum growth rate relative to maximum fruit weight;SD;PARPLT;1;real;0;30;1;0
bhres;parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres);g.g-1;PARAM;21;real;-5;2000;1;0
biorognem;minimal crop biomass removed when topping (automatic calculation);t.ha-1;PARTEC;1;real;0;10;1;0
bkres;potential rate of decomposition of organic residues: kres=akres+bkres/CsurNres;g.g-1;PARAM;21;real;-2;2;1;0
bks;parameter of calculation of the energetic lost between the inside and the outside of a greenhouse ;W.m-2.K-1;STATION;1;real;0;100;1;0
bwb;parameter determining C/N ratio of biomass during organic residues decomposition: CsurNbio=awb+bwb/CsurNres;g.g-1;PARAM;21;real;-500;0;1;0
cadencerec;number of days between two harvests;d;PARTEC;1;integer;1;30;1;0
cailloux;volumetric content of pebbles per soil layer;%;PARSOL;5;real;0;100;1;0
calc;total carbonate content;%;PARSOL;1;real;0;100;1;0
capiljour;capillary rise upward water flux;mm.d-1;PARSOL;1;real;0.1;20;1;0
celong;parameter of the plantlet elongation curve;SD;PARPLT;1;real;1;10;1;0
cfes;parameter defining the soil contribution to evaporation versus depth ;SD;PARSOL;1;real;0.5;4;1;0
cfpf;parameter of the first potential growth phase of fruit, corresponding to an exponential type function describing the cell division phase;SD;PARPLT;1;real;0.1;100;1;0
cgrain;slope of the relationship between grain number and growth rate ;t-1.m2.d;PARPLT;1;real;100;5000;1;0
cgrainv0;fraction of the maximal number of grains when growth rate is zero;SD;PARPLT;1;real;0;1;1;0
cielclair;fraction of sunny hours allowing the inversion of thermal gradient with altitude;SD;STATION;1;real;0;1;1;0
